"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract"
"Carè R.; Cumming D.","Carè, Rosella (57190193984); Cumming, Douglas (54790580000)","57190193984; 54790580000","Technology and automation in financial trading: A bibliometric review","2024","Research in International Business and Finance","71","","102471","","","","0","10.1016/j.ribaf.2024.102471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198143347&doi=10.1016%2fj.ribaf.2024.102471&partnerID=40&md5=1af5e9820546d2802f67efb30762e6f6","In this bibliometric study, the significant transformations in the financial sector brought about by automation and technological advancements from 1984 to 2022 are explored. A total of 863 articles is analyzed, and a consistent upward trajectory in research focused on fast trading technologies and algorithmic strategies is identified. The key findings reveal that the research is grouped into five thematic clusters, ranging from algorithmic trading and machine learning to systemic risks associated with high-frequency trading and the impacts of algorithmic trading on market quality. This study encapsulates the evolving landscape of financial markets, emphasizing emerging trends in cryptocurrencies and machine learning, which will continue to shape future research directions. In conclusion, five macroareas and ten specific future research areas are proposed. © 2024 The Authors"
"Orłowski P.; Schneider P.; Trojani F.","Orłowski, Piotr (57203604696); Schneider, Paul (23669253300); Trojani, Fabio (7003704511)","57203604696; 23669253300; 7003704511","On the Nature of (Jump) Skewness Risk Premia","2024","Management Science","70","2","","1154","1174","20","2","10.1287/mnsc.2023.4734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173251755&doi=10.1287%2fmnsc.2023.4734&partnerID=40&md5=9619281a4b3ffa15016549cf1b3d5d46","Market skewness risk is priced, but the components of its premium are not fully understood. We propose new trading strategies decomposing the skewness risk premium into jump and leverage effect components, and we analyze the skewness risk premia in the market for S&P 500 index options. We find that the skewness premium is higher when markets are closed than during trading hours, consistently with uncertainty resolution patterns by non-U.S investors; that it increases after left-tail market events; and that it is distinct from the variance premium. Moreover, during trading hours, the skewness premium is dominated by priced jump risk. © 2023 INFORMS."
"Acosta M.; Brennan C.M.; Jacobson M.M.","Acosta, Miguel (58527566100); Brennan, Connor M. (58304957100); Jacobson, Margaret M. (57886128900)","58527566100; 58304957100; 57886128900","Constructing high-frequency monetary policy surprises from SOFR futures","2024","Economics Letters","242","","111873","","","","0","10.1016/j.econlet.2024.111873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200545955&doi=10.1016%2fj.econlet.2024.111873&partnerID=40&md5=4e1a58554addf29b33684acb7112e4ee","Eurodollar futures were the bedrock for constructing high-frequency series of monetary policy surprises, so their discontinuation poses a challenge for the continued empirical study of monetary policy. We propose an approach for updating the series of Gürkaynak, Sack, and Swanson (2005) and Nakamura and Steinsson (2018) with SOFR futures in place of Eurodollar futures that is conceptually and materially consistent. We recommend using SOFR futures from January 2022 onward based on regulatory developments and trading volumes. The updated series suggest that surprises over the recent tightening cycle are larger in magnitude than those seen over the decade prior and restrictive on average. © 2024"
"Zhang H.; Qian S.; Ma Z.","Zhang, Huiming (36784153000); Qian, Siji (58844193600); Ma, Zhen (58844909500)","36784153000; 58844193600; 58844909500","An analysis of the market efficiency of the Chinese copper futures based on intertemporal and intermarket arbitrages","2024","International Review of Financial Analysis","94","","103243","","","","1","10.1016/j.irfa.2024.103243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189830048&doi=10.1016%2fj.irfa.2024.103243&partnerID=40&md5=042a49fef8c67c553f20292eae1330ef","This paper studies the market efficiency and relevant issues of the copper futures traded on the Shanghai Futures Exchange (SHFE) in China. Since its listing, the market, grown unceasingly in scale and internationalization level, has become the largest copper futures trading market in the world (the London Metal Exchange (LME) copper futures market is the second largest). Using the data from 2006 to 2022 as a sample, a period covering the outbreak of the COVID-19 pandemic and the internationalization of the Chinese copper futures, this paper analyzes the market efficiency of China's copper futures based on both intertemporal and intermarket strategies (SHFE Copper Futures and LME Copper Futures, with considering time difference factor). To better reflect the actual situation, this paper, when establishing trading strategy models, not only took into account various actual trading factors such as transaction costs, market impact costs, liquidity costs, margin, and capital costs but also combined daily and high-frequency data to present highly practical arbitrage strategies. According to empirical results, overall, it was not found significant arbitrage opportunities to violate the market efficiency rule. Although some arbitrage opportunities indeed emerged, they were infrequent, especially when transaction costs were considered. Specifically, in terms of the intertemporal strategy, despite that infrequent arbitrage opportunities did appear in the SHFE copper futures market, they failed to bring substantial gains, some of which even caused losses in extreme cases. In terms of the intermarket strategy, there is a cointegration relationship between the logarithmic price of LME copper futures and the logarithmic price of SHFE copper futures. The average annualized rates of return in the results of the in-sample empirical analysis were high, but in the out-of-sample empirical analysis of high frequency and daily data were not found significant arbitrage opportunities. The influence between the LME copper futures market and the SHFE copper futures market was bidirectional. © 2024 Elsevier Inc."
"Zheng Y.; Osmer E.","Zheng, Yao (57195479583); Osmer, Eric (57195471228)","57195479583; 57195471228","Do CFA charterholders make better hedge fund managers?","2024","Handbook Of Investment Analysis, Portfolio Management, And Financial Derivatives (In 4 Volumes)","3-4","","","2541","2564","23","0","10.1142/9789811269943_0080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201491937&doi=10.1142%2f9789811269943_0080&partnerID=40&md5=b2b64feaa2e8a470808528994dca671c","In this chapter, we investigate whether hedge fund managers possessing advanced professional education, as represented by the CFA@ designation, have better managerial ability and fund performance compared to managers lacking such education. We define managerial ability in terms of market, volatility, and liquidity timing ability. In general, we find that CFA designated managers have better volatility and liquidity timing ability and earn better risk-adjusted returns than non-CFA managers. We also find that the CFA designation does not contribute to the fund flow-performance relation. The rise of high frequency and algorithmic trading may partially explain these findings. © 2024 World Scientific Publishing Company. All rights reserved."
"Ekinci C.; Ersan O.","Ekinci, Cumhur (55831450300); Ersan, Oğuz (57189005583)","55831450300; 57189005583","Impact of the COVID-19 Market Turmoil on Investor Behavior: A Panel VAR Study of Bank Stocks in Borsa Istanbul","2024","International Journal of Financial Studies","12","1","14","","","","0","10.3390/ijfs12010014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188839726&doi=10.3390%2fijfs12010014&partnerID=40&md5=0803f63f53e9eede0b1bb59628429640","Assuming that investors can be foreign or local, do high-frequency trading (HFT) or not, and submit orders through a bank-owned or non-bank-owned broker, we associated trades to various investors. Then, building a panel vector autoregressive model, we analyzed the dynamic relation of these investors with returns and among each other before and during the COVID-19 market crash. Results show that investor groups have influence on each other. Their net purchases also interact with returns. Moreover, during the turmoil caused by the pandemic, except foreign investors not involved in HFT, the response of any investor group (retail/institutional, domestic investors doing HFT and those not doing HFT, and foreign investors doing HFT) significantly altered. This shows that the interrelation among investor groups is dynamic and sensitive to market conditions. © 2024 by the authors."
"Mandal R.C.; Kler R.; Tiwari A.; Keshta I.; Abonazel M.R.; Tageldin E.M.; Umaralievich M.S.","Mandal, Rabi Chandra (58805588500); Kler, Rajnish (57210727261); Tiwari, Anil (58762537100); Keshta, Ismail (56444410400); Abonazel, Mohamed R. (57192680721); Tageldin, Elsayed M. (58502241500); Umaralievich, Mekhmonov Sultonali (58515336300)","58805588500; 57210727261; 58762537100; 56444410400; 57192680721; 58502241500; 58515336300","Enhancing Stock Price Prediction with Deep Cross-Modal Information Fusion Network","2024","Fluctuation and Noise Letters","23","2","2440017","","","","2","10.1142/S0219477524400170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181946351&doi=10.1142%2fS0219477524400170&partnerID=40&md5=8d08dc69255ff2e78489ab9cf06bd772","Stock price prediction is considered a classic and challenging task, with the potential to aid traders in making more profitable trading decisions. Significant improvements in stock price prediction methods based on deep learning have been observed in recent years. However, most existing methods are reliant solely on historical stock price data for predictions, resulting in the inability to capture market dynamics beyond price indicators, thus limiting their performance to some extent. Therefore, combining social media text with historical stock price information has proposed a novel stock price prediction method, known as the Deep Cross-Modal Information Fusion Network (DCIFNet). The process is initiated by DCIFNet, which employs temporal convolution processes to encode stock prices and Twitter content. This ensures that each element has sufficient information about its surrounding components. Following this, the outcomes are inputted into a cross-modal fusion structure based on transformers to enhance the integration of crucial information from stock prices and Twitter content. Lastly, a multi-graph convolution attention network is introduced to depict the relationships between different stocks from diverse perspectives. This facilitates the more effective capturing of industry affiliations, Wikipedia references, and associated relationships among linked stocks, ultimately leading to an enhancement in stock price prediction accuracy. Trend prediction and simulated trading experiments are conducted on high-frequency trading datasets spanning nine different industries. Comparative assessments with the Multi-Attention Network for Stock Prediction (MANGSF) method, as well as ablation experiments, confirm the effectiveness of the DCIFNet approach, resulting in an accuracy rate of 0.6309, a marked improvement compared to representative methods in the field.  © 2024 World Scientific Publishing Company."
"Yuan S.-F.","Yuan, Shu-Fang (23981734500)","23981734500","Realized higher moments and trading activity","2024","Review of Quantitative Finance and Accounting","62","3","","971","1005","34","0","10.1007/s11156-023-01227-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179751014&doi=10.1007%2fs11156-023-01227-3&partnerID=40&md5=65d6543c84f906c67ede3cf68ed3ccf0","This study investigates the informativeness of realized higher moments of stock index returns, namely, realized skewness and kurtosis, in explaining trading activity in the futures market to investigate whether information flows from price risk to trading activity. By analyzing high-frequency data covering a twelve-year period, we discover that futures trading activity can be attributed to high-moment market risks, as observed in the significant explanatory power of realized high moments even after controlling for other risk factors. The results are robust to the use of various adjusted measures of high-moment risk, their subcomponents, various measures of trading activity, and data attributes. This study suggests that realized high moments are a market risk and cannot be combined with volatility risk and other risk measures. Most importantly, this study finds that there exists a flow of market information from price risk to trading activity. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023."
"Marszałek A.; Burczyński T.","Marszałek, Adam (55860190100); Burczyński, Tadeusz (6701744968)","55860190100; 6701744968","Modeling of limit order book data with ordered fuzzy numbers","2024","Applied Soft Computing","158","","111555","","","","0","10.1016/j.asoc.2024.111555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190345374&doi=10.1016%2fj.asoc.2024.111555&partnerID=40&md5=27eab2b950655a6acb9d54eef7c8c948","This paper presents a novel approach to representing the Limit Order Book data at a given timestamp using the Ordered Fuzzy Numbers concept. The limit order book contains all buy and sell orders placed by investors, updated in real-time, for the most liquid securities, even several hundred times a minute. Due to its irregular nature (different and dynamic changes in the number of buy and sell orders), direct calculations on the order book data are not feasible without transforming it into feature vectors. Currently, most studies use a price level-based data representation scheme when applying deep learning models on limit order book data. However, this scheme has limitations, particularly its sensitivity to subtle perturbations that can negatively impact model performance. On the other hand, the ordered fuzzy number is a mathematical object (a pair of two functions) used to process imprecise and uncertain data. Ordered Fuzzy Numbers possess well-defined arithmetic properties. Converting the limit order book data to ordered fuzzy numbers allows the creation of a time series of ordered fuzzy numbers (order books) and use them for further calculations, e.g., to represent input data for deep learning models or employing the concept of fuzzy time series in various domains, such as defining liquidity measures based on limit order book data. In this paper, the proposed approach is tested using one-year market data from the Polish Stock Exchange for the five biggest companies. The DeepLOB model is employed to predict mid-price movement using different input data representations. The proposed representation of Limit Order Book data demonstrated remarkably stable out-of-sample prediction accuracy, even when subjected to data perturbation. © 2024 The Author(s)"
"Wu M.; Wang L.; Yang H.","Wu, Meiyu (58983588800); Wang, Li (57218276293); Yang, Haijun (55731065200)","58983588800; 57218276293; 55731065200","Heterogeneity in the volatility spillover of cryptocurrencies and exchanges","2024","Financial Innovation","10","1","85","","","","0","10.1186/s40854-023-00585-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190301952&doi=10.1186%2fs40854-023-00585-0&partnerID=40&md5=878169fcb9b96912428a82e8b49cd674","This study examines the volatility spillovers in four representative exchanges and for six liquid cryptocurrencies. Using the high-frequency trading data of exchanges, the heterogeneity of exchanges in terms of volatility spillover can be examined dynamically in the time and frequency domains. We find that Ripple is a net receiver on Coinbase but acts as a net contributor on other exchanges. Bitfinex and Binance have different net spillover effects on the six cryptocurrency markets. Finally, we identify the determinants of total connectedness in two types of volatility spillover, which can explain cryptocurrency or exchange interlinkage. © The Author(s) 2024."
"Nayak G.; Tripathy S.S.; Imoize A.L.; Li C.-T.","Nayak, Gangadhar (57218292896); Tripathy, Subhranshu Sekhar (57261600600); Imoize, Agbotiname Lucky (37053839500); Li, Chun-Ta (27167640600)","57218292896; 57261600600; 37053839500; 27167640600","Application of Extended Normal Distribution in Option Price Sensitivities","2024","Mathematics","12","15","2346","","","","0","10.3390/math12152346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200738503&doi=10.3390%2fmath12152346&partnerID=40&md5=939d8b10174d45f36c4d9ee480b7bfed","Empirical evidence indicates that asset returns adhere to an extended normal distribution characterized by excessive kurtosis and non-zero skewness. Consequently, option prices derived from this distribution diverge from those predicted by the Black–Scholes model. Despite the significance of option price sensitivities for risk management in investment portfolios, the existing literature lacks a thorough exploration of these sensitivities within the context of the extended normal distribution. This article addresses this research gap by deriving the Greeks for options based on the extended normal distribution. The Greeks under consideration include Vega, Delta, Theta, Gamma, Rho, Vanna, Charm, and Vera, all of which are crucial for informed financial decision-making. Furthermore, this study provides a detailed analysis of how these option price sensitivities vary with different levels of kurtosis, offering valuable insights for various market applications. This contribution not only enhances the theoretical understanding of option pricing under non-standard distributions but also presents practical implications for portfolio risk management. © 2024 by the authors."
"Zhou C.; Huang Y.; Cui K.; Lu X.","Zhou, Chujin (58592636600); Huang, Yuling (58184892300); Cui, Kai (58170038500); Lu, Xiaoping (55533798400)","58592636600; 58184892300; 58170038500; 55533798400","R-DDQN: Optimizing Algorithmic Trading Strategies Using a Reward Network in a Double DQN","2024","Mathematics","12","11","1621","","","","0","10.3390/math12111621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195890955&doi=10.3390%2fmath12111621&partnerID=40&md5=cb860daa4a464ef2af89d281c07775a2","Algorithmic trading is playing an increasingly important role in the financial market, achieving more efficient trading strategies by replacing human decision-making. Among numerous trading algorithms, deep reinforcement learning is gradually replacing traditional high-frequency trading strategies and has become a mainstream research direction in the field of algorithmic trading. This paper introduces a novel approach that leverages reinforcement learning with human feedback (RLHF) within the double DQN algorithm. Traditional reward functions in algorithmic trading heavily rely on expert knowledge, posing challenges in their design and implementation. To tackle this, the reward-driven double DQN (R-DDQN) algorithm is proposed, integrating human feedback via a reward function network trained on expert demonstrations. Additionally, a classification-based training method is employed for optimizing the reward function network. The experiments, conducted on datasets including HSI, IXIC, SP500, GOOGL, MSFT, and INTC, show that the proposed method outperforms all baselines across six datasets and achieves a maximum cumulative return of 1502% within 24 months. © 2024 by the authors."
"Wu K.; Duan Y.","Wu, Kunguang (58977177500); Duan, Yucong (56328556200)","58977177500; 56328556200","Modeling and Resolving Uncertainty in DIKWP Model","2024","Applied Sciences (Switzerland)","14","11","4776","","","","0","10.3390/app14114776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195874291&doi=10.3390%2fapp14114776&partnerID=40&md5=28187e6bb8675b6f9ab04639782fa6ea","The paper examines the various uncertainties encountered in high-frequency trading (HFT) environments and delves into the multiple challenges faced by HFT firms in navigating the Dodd–Frank Wall Street Reform and Consumer Protection Act (referred to as the “Dodd–Frank Act”), particularly during the initial stages of its enactment. These challenges include the ambiguity surrounding the definition of HFT, the lack of clarity regarding regulatory requirements and boundaries, inconsistencies in enforcement resulting from deviations in understanding the content, and the absence of detailed descriptions of the Act’s provisions. These hurdles significantly impact not only the daily operations of HFT firms but also pose higher demands on their long-term strategic planning and risk management. Drawing upon the Data, Information, Knowledge, Wisdom, and Purpose (DIKWP) model, this study employs an innovative analytical framework. Through the comprehensive application of Cognitive Space, Concept Space, and Semantic Space, it provides a systematic methodology for identifying and analyzing the aforementioned issues. This approach not only aids firms in better comprehending and adhering to complex regulatory requirements but also enables them to explore new business opportunities and competitive advantages while ensuring compliance. © 2024 by the authors."
"Huang W.; Wang Y.","Huang, Wenyang (57203929089); Wang, Yizhi (58078504600)","57203929089; 58078504600","Identifying price bubbles in global carbon markets: Evidence from the SADF test, GSADF test and LPPLS method","2024","Energy Economics","134","","107626","","","","1","10.1016/j.eneco.2024.107626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193552459&doi=10.1016%2fj.eneco.2024.107626&partnerID=40&md5=9cca9f3eeb734160457732b410a9cea6","Amid growing climate concerns, Emissions Trading Schemes (ETS) serve as key mechanisms for reducing greenhouse gas emissions through market forces. This study delves into the phenomenon of price bubbles within six major ETSs globally: the European Union Emissions Trading Scheme (EU ETS), the New Zealand Emissions Trading Scheme (NZ ETS), the California-Québec Emissions Trading Scheme (CQ ETS), the South Korea Emissions Trading Schemes (K-ETS), the China Emissions Trading Scheme (C-ETS), and the United Kingdom Emissions Trading Schemes (UK ETS). Employing the sup augmented Dickey-Fuller (SADF) test, generalized sup ADF (GSADF) test, and log-periodic power law singularity (LPPLS) model, our analysis aims to uncover the dynamics and implications of these bubbles. Our findings reveal varied patterns of price bubbles across the schemes, with the EU ETS showing the highest frequency and the NZ ETS exhibiting the longest durations. The period of 2021 and 2022 marked a significant increase in bubble occurrences across all ETSs, suggesting the influence of post-COVID-19 economic recovery and geopolitical tensions on market stability. These bubbles are attributed to factors including carbon market policies, macroeconomic conditions, energy price fluctuations, and market uncertainties. The study offers valuable insights for compliance firms, policymakers, and investors on navigating carbon market volatility. Understanding bubble dynamics can aid in formulating more effective emission reduction strategies, carbon pricing policies, and investment decisions. This research underscores the importance of integrating monetary policy considerations with environmental objectives within ETS frameworks, paving the way for future research on predictive bubble detection and the development of robust carbon market regulations. © 2024 Elsevier B.V."
"Liu Y.; Chen S.; Ma L.; Yang G.; Wan K.","Liu, Yao (59313537300); Chen, Shiyang (59313609700); Ma, Long (59313562500); Yang, Guolong (59313537400); Wan, Kun (59313537500)","59313537300; 59313609700; 59313562500; 59313537400; 59313537500","Real-Time Order Book Building and Snapshot Generating for High Frequency Trading on FPGA","2024","Proceedings of the International Conference on Application-Specific Systems, Architectures and Processors","","","","71","76","5","0","10.1109/ASAP61560.2024.00025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203109538&doi=10.1109%2fASAP61560.2024.00025&partnerID=40&md5=5eb6e1167c6252ab38923474d3d641e7","Stock exchanges provide tick-by-tick quotes for traders who want to obtain speed advantage by building order book and generating snapshots on their local servers. Order book building is a burdensome task for software because CPU pipelines would be occupied by a large amount of operations like sorting, table looking up, inserting and deleting. The work presented in this paper describes an FPGA solution to fully take over this task. There are two main contributions in this work. First, we map price levels of stocks directly to external DRAM addresses, which naturally solve sorting issues within one DRAM access. Second, we customize a novel two-level CACHE to manage the best bids and offers in real-time to reduce the latency of snapshot generating. In the experiment, the latency of the FPGA solution ranges from 26 to 209 ns, which is 3.5 to 37.6 times faster than the software solution. The throughput of the FPGA solution exceeds 3.26 million messages per second, offering a speedup of 4.3 to 22.3 times over the software solution. The FPGA solution also demonstrates commendable scalability. © 2024 IEEE."
"Aquino M.J.; Gershenson S.","Aquino, Michele J. (57412226300); Gershenson, Seth (54892961500)","57412226300; 54892961500","Expecting the Expected? Documenting Nostalgia Effects on Baseball Card Prices","2024","Journal of Sports Economics","25","6","","683","706","23","0","10.1177/15270025241245638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190236193&doi=10.1177%2f15270025241245638&partnerID=40&md5=709166c7efc622d37fb83a03f453c915","Identifying anomalies, or empirical facts that contradict theoretical predictions, is a common form of proof by contradiction in economics and finance. We identify an apparent pricing anomaly in the market for trading cards: large and persistent death effects of about 20% are observed following the death of legendary baseball players. Rational investors should anticipate each player's eventual death, so these results suggest that profit opportunities are being left on the table. The arguably causal estimates come from interrupted time series models that adjust flexibly for time pre- and post-death and the time of sale using high-frequency sales data. The effect is largest in the days immediately following the death, but prices remain elevated for at least 60 days. Generally, our findings reaffirm the presence of a causal “nostalgia effect” of celebrity deaths on consumer demand for collectibles and products associated with the celebrity. © The Author(s) 2024."
"Wang Y.; Liu H.; Zou J.; Ravishanker N.","Wang, Yanzhao (59286184500); Liu, Haitao (57216375924); Zou, Jian (53665013500); Ravishanker, Nalini (57203093070)","59286184500; 57216375924; 53665013500; 57203093070","LATENT LEVEL CORRELATION MODELING OF MULTIVARIATE DISCRETE-VALUED FINANCIAL TIME SERIES","2024","Annals of Applied Statistics","18","3","","2462","2485","23","1","10.1214/24-AOAS1890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201683772&doi=10.1214%2f24-AOAS1890&partnerID=40&md5=7f69827d67fc92026edeb2cad53cfbed","In high-frequency financial data, dynamic patterns of transaction counts in regular time intervals provide crucial insights into market microstructure, such as short-term trading activities and intermittent intensities of price oscillation. In this paper we propose a Bayesian hierarchical framework that in-corporates correlated latent level and temporal effects to model multivariate count data during intraday transaction intervals. Built on the INLA method for implementation, our framework proves to be competitive with the traditional MCMC approach in terms of model inference and computational cost. We demonstrate the efficacy of our methodology by applying it to assets from three Global Industry Classification Standard (GICS) sectors, namely, health-care, energy, and industrials. The analysis uncovers various microstructures of financial count data using our framework. Specifically, our model featuring a correlated latent effect structure adeptly captures the pattern of the empirical correlations within the count data patterns with additional statistical inference, such as assessing different associations between short-term averaged trading size as well as trading duration, the counts at different risk levels, and uncovering differential levels of uncertainty resulted from market temporal behavior and unobservable latent effects across the three sectors. We also discuss some potential applications of our framework in real-world scenarios. © Institute of Mathematical Statistics, 2024."
