Palabra,Frecuencia
risk,273463
financial,236281
use,142501
model,124581
study,123263
market,105106
result,86586
base,70442
paper,67286
high,64779
datum,62636
analysis,61418
management,60102
research,58927
method,57324
factor,55452
economic,52812
increase,52472
provide,52390
development,49332
approach,49330
cost,48737
value,48602
bank,48316
health,48154
portfolio,47744
finance,47361
investment,46971
impact,45801
include,45657
asset,45493
time,44748
effect,43676
level,43460
firm,43310
author,41434
policy,40444
company,40098
new,40017
performance,38983
price,38800
return,38410
information,37855
problem,37808
process,37484
stock,37344
decision,36830
develop,36380
measure,36344
change,36094
patient,35933
social,35703
rate,35360
country,35291
low,34997
business,34788
project,34685
strategy,34429
year,33724
propose,33256
need,33168
term,33031
finding,31956
different,31833
make,31639
design,31602
capital,31376
service,31329
significant,31313
present,30925
support,30541
investor,30132
crisis,29836
identify,29836
credit,29715
reduce,29049
group,28967
industry,28557
right,28252
case,28175
consider,28052
technology,27799
corporate,27754
examine,27520
control,27141
sector,26546
important,26432
associate,26203
reserve,25975
improve,25893
global,25844
work,25474
relate,25289
energy,25081
relationship,24476
aim,24301
period,24206
large,24141
non,23866
future,23659
care,23607
public,23595
focus,23245
framework,23059
issue,22956
resource,22913
long,22843
article,22788
role,22254
potential,22241
report,22168
compare,22114
optimization,21932
influence,21854
sustainable,21734
practice,21664
test,21514
economy,21437
state,21285
international,20948
quality,20773
network,20641
lead,20546
government,20516
engineering,20487
index,20438
analyze,20392
pricing,20379
volatility,20367
option,20262
suggest,20257
individual,20206
purpose,19891
apply,19673
affect,19588
benefit,19584
insurance,19521
objective,19505
area,19455
institution,19425
loss,19373
structure,19271
challenge,19155
activity,19044
application,19007
environmental,18836
investigate,18822
review,18742
literature,18717
security,18658
condition,18650
sample,18432
implication,18418
assess,18388
estimate,18333
order,18197
evidence,18169
theory,18048
growth,18010
real,18006
variable,17971
product,17762
number,17703
fund,17581
methodology,17544
current,17509
follow,17450
require,17109
program,16937
enterprise,16882
mean,16874
outcome,16859
banking,16829
experience,16808
world,16768
set,16747
limit,16643
assessment,16563
type,16513
main,16433
2020,16413
various,16337
algorithm,16288
dynamic,16285
determine,16209
help,16060
address,16037
empirical,15916
exist,15880
key,15829
conduct,15791
evaluate,15778
good,15681
environment,15677
elsevi,15659
solution,15589
great,15576
technique,15538
student,15518
conclusion,15437
tool,15436
life,15346
green,15220
climate,15131
income,15099
explore,15029
power,14994
uncertainty,14959
effective,14872
age,14871
2021,14831
function,14776
2023,14708
optimal,14689
treatment,14673
springer,14669
significantly,14577
positive,14559
2019,14494
derivative,14458
behavior,14428
indicate,14407
china,14405
discuss,14390
debt,14340
community,14336
specific,14316
19,13983
characteristic,13965
governance,13937
form,13932
achieve,13917
participant,13895
supply,13869
knowledge,13864
efficiency,13862
distribution,13835
population,13796
standard,13754
cause,13676
major,13628
national,13570
survey,13539
ratio,13514
recent,13399
nature,13382
innovation,13372
small,13358
access,13331
association,13325
way,13303
obtain,13285
equity,13264
society,13196
private,13179
production,13108
university,12991
mechanism,12979
regression,12967
woman,12946
offer,12941
source,12890
regulation,12860
intervention,12857
2018,12844
2022,12839
implementation,12831
event,12822
science,12817
face,12816
demonstrate,12781
allow,12767
financing,12750
trading,12700
total,12660
account,12642
contribute,12641
exchange,12632
difference,12603
concern,12599
negative,12498
field,12492
family,12393
organization,12392
disease,12338
emerge,12318
far,12316
implement,12289
covid,12162
people,12041
create,12021
context,12020
education,11729
manage,11729
trade,11712
expect,11674
evaluation,11637
involve,11612
local,11610
operation,11603
scale,11550
