Palabra,Frecuencia
computational,1921
finance,1861
data,1685
model,1155
based,1123
financial,1006
models,971
time,925
methods,820
paper,798
method,764
using,717
applications,663
analysis,657
learning,654
results,648
problems,624
research,624
used,599
approach,591
performance,590
algorithm,578
proposed,572
market,563
problem,543
risk,542
new,532
optimization,497
algorithms,478
study,476
high,470
systems,463
use,456
techniques,434
information,385
numerical,382
computing,381
real,374
different,366
order,360
machine,346
pricing,345
portfolio,344
series,342
application,340
large,324
accuracy,318
stochastic,317
stock,316
applied,314
process,314
springer,306
network,304
science,302
management,301
including,297
development,279
various,278
number,276
simulation,275
provide,271
design,269
intelligence,269
optimal,266
important,265
price,265
framework,264
technology,262
state,260
field,258
complex,256
quantum,256
solution,256
efficient,251
theory,251
networks,250
world,248
engineering,246
present,246
reserved,246
book,245
rights,245
neural,244
efficiency,242
ieee,241
carlo,240
work,240
monte,239
modeling,238
prediction,237
mathematical,235
business,232
economics,229
fields,228
option,228
approaches,227
future,227
statistical,226
decision,222
provides,222
set,221
author,216
propose,215
options,214
processing,212
trading,212
complexity,209
artificial,208
studies,208
forecasting,207
case,206
level,205
literature,203
cost,202
linear,201
terms,201
existing,199
nature,198
selection,198
function,197
recent,195
novel,194
making,193
volatility,193
solutions,190
value,187
significant,186
distribution,185
economic,185
social,185
non,184
asset,183
areas,182
compared,182
presented,179
markets,178
processes,178
challenges,177
programming,175
related,175
article,174
detection,173
deep,171
dimensional,171
power,171
big,170
developed,170
dynamic,170
industry,170
solving,170
agent,169
solve,169
parameters,167
experiments,165
control,164
investment,164
tools,164
demonstrate,163
potential,163
dynamics,162
random,162
2023,161
ai,161
fuzzy,161
rate,160
traditional,159
variance,159
knowledge,158
practical,158
general,156
global,156
low,156
available,155
mean,155
technique,155
computation,154
differential,154
better,153
theoretical,153
chapter,152
implementation,152
multi,152
range,152
presents,150
security,150
software,150
classification,149
examples,149
computer,148
current,148
estimation,148
domains,147
elsevier,147
variables,147
empirical,145
parallel,145
equations,144
like,144
second,144
scientific,143
language,142
impact,141
key,141
online,141
blockchain,140
specific,139
given,138
long,138
prices,138
review,138
structure,138
datasets,137
improve,137
researchers,137
credit,136
features,136
scheme,136
support,136
understanding,136
domain,135
scale,133
particular,132
multiple,131
obtained,131
functions,130
human,130
resources,130
space,130
main,129
nonlinear,129
strategies,129
effective,128
years,128
error,127
known,127
values,127
2022,126
objective,126
art,125
higher,125
make,124
quality,124
way,124
wide,124
approximation,123
energy,123
develop,122
mathematics,122
need,121
role,121
term,120
2020,119
regression,119
uncertainty,119
authors,118
university,118
area,117
media,117
returns,117
statistics,117
distributed,116
especially,116
mining,116
2024,115
evaluation,115
2021,114
issues,114
quantitative,114
test,114
integration,113
point,113
strategy,113
students,113
text,113
behavior,112
context,112
finally,112
achieve,111
properties,111
widely,111
addition,110
advanced,110
limited,110
training,110
best,109
methodology,109
dataset,108
investors,108
robust,108
standard,108
underlying,108
classical,107
critical,107
decisions,107
environment,107
factors,107
natural,107
search,106
constraints,105
equation,105
memory,105
discussed,104
average,103
patterns,103
sentiment,103
tasks,103
comprehensive,102
focus,102
modern,102
single,102
tool,102
example,101
feature,101
include,101
public,101
hybrid,100
measure,100
measures,100
probability,100
architecture,99
matrix,99
possible,99
topics,99
convergence,98
hardware,98
policy,98
form,97
american,96
short,96
task,96
aims,95
derivatives,95
gpu,95
local,95
parameter,95
privacy,95
allows,94
designed,94
group,94
interval,94
relevant,94
return,94
verlag,94
analyze,93
effectiveness,93
experimental,93
international,93
result,93
considered,92
fast,92
input,92
simulations,92
technologies,92
chain,91
common,91
evaluate,91
finite,91
highly,91
recently,91
sets,91
challenging,90
class,90
conditions,90
discrete,90
