Palabra,Frecuencia
the,91076
of,57896
and,52020
to,31965
in,30817
that,13780
is,13303
on,13272
for,12379
corporate,12305
this,12066
finance,10205
as,9136
financial,8480
by,8359
with,8115
are,7636
from,5799
we,5205
an,5126
study,4606
it,4546
firms,4515
be,4378
have,4274
research,4167
has,4151
their,3901
which,3577
capital,3489
governance,3482
management,3424
paper,3376
business,3246
between,3236
more,3190
market,3176
companies,3149
or,2981
risk,2937
can,2872
investment,2803
firm,2796
also,2771
analysis,2755
not,2753
social,2752
performance,2750
these,2747
value,2678
data,2672
development,2554
all,2490
economic,2477
its,2473
based,2443
results,2418
model,2354
at,2317
new,2184
such,2168
impact,2164
how,2151
tax,2151
using,2016
information,2011
financing,2007
findings,1988
policy,1973
was,1965
green,1964
been,1923
our,1799
debt,1768
through,1756
other,1752
but,1722
literature,1721
will,1666
effect,1661
rights,1633
approach,1606
structure,1599
level,1589
they,1551
company,1542
used,1525
stock,1509
system,1505
into,1498
role,1498
important,1493
significant,1488
both,1482
accounting,1469
global,1459
theory,1452
public,1448
markets,1426
authors,1421
well,1416
were,1416
industry,1405
investors,1399
international,1396
use,1394
relationship,1382
than,1380
environmental,1378
innovation,1373
sector,1354
growth,1349
most,1346
credit,1345
implications,1317
one,1314
banks,1313
different,1313
studies,1300
sustainable,1297
case,1292
there,1280
state,1273
empirical,1265
countries,1264
cash,1252
csr,1250
reserved,1250
enterprises,1249
however,1232
two,1220
economy,1218
bank,1203
article,1192
limited,1188
over,1179
non,1176
when,1170
equity,1168
purpose,1162
first,1160
some,1157
may,1148
islamic,1144
find,1142
interest,1132
factors,1116
high,1108
show,1105
government,1103
related,1099
while,1098
listed,1088
under,1081
issues,1071
about,1067
effects,1065
private,1059
decisions,1058
evidence,1042
future,1041
provide,1036
managers,1033
banking,1030
time,1030
only,1026
term,1022
law,1017
author,1011
should,1006
models,996
digital,990
influence,988
sustainability,988
provides,981
large,979
decision,969
practices,964
china,957
book,956
higher,952
world,951
cost,948
institutions,941
positive,941
responsibility,941
esg,923
including,915
methodology,915
process,915
ownership,908
political,908
crisis,907
framework,904
period,901
technology,895
institutional,894
long,893
within,889
sample,888
control,886
design,874
group,867
publishing,866
review,863
during,852
key,849
among,841
change,835
further,832
activities,825
policies,824
environment,820
board,819
work,816
many,810
current,800
making,798
disclosure,788
examine,783
real,783
years,778
quality,775
could,771
recent,761
three,759
increase,756
corporations,754
2022,752
need,750
